param_id,ls_xy,ls_z,os_xyz,ls_t,os_t,ap_form,ls_ap,os_ap
0,0.025,0.25,20,50,0,add,0.25,10.0
1,0.025,0.25,20,50,0,add,0.25,20.0
2,0.025,0.25,20,50,0,add,0.25,40.0
3,0.025,0.25,20,50,0,add,0.5,10.0
4,0.025,0.25,20,50,0,add,0.5,20.0
5,0.025,0.25,20,50,0,add,0.5,40.0
6,0.025,0.25,25,50,0,add,0.25,10.0
7,0.025,0.25,25,50,0,add,0.25,20.0
8,0.025,0.25,25,50,0,add,0.25,40.0
9,0.025,0.25,25,50,0,add,0.5,10.0
10,0.025,0.25,25,50,0,add,0.5,20.0
11,0.025,0.25,25,50,0,add,0.5,40.0
12,0.025,0.25,50,50,0,add,0.25,10.0
13,0.025,0.25,50,50,0,add,0.25,20.0
14,0.025,0.25,50,50,0,add,0.25,40.0
15,0.025,0.25,50,50,0,add,0.5,10.0
16,0.025,0.25,50,50,0,add,0.5,20.0
17,0.025,0.25,50,50,0,add,0.5,40.0
18,0.025,0.5,20,50,0,add,0.25,10.0
19,0.025,0.5,20,50,0,add,0.25,20.0
20,0.025,0.5,20,50,0,add,0.25,40.0
21,0.025,0.5,20,50,0,add,0.5,10.0
22,0.025,0.5,20,50,0,add,0.5,20.0
23,0.025,0.5,20,50,0,add,0.5,40.0
24,0.025,0.5,25,50,0,add,0.25,10.0
25,0.025,0.5,25,50,0,add,0.25,20.0
26,0.025,0.5,25,50,0,add,0.25,40.0
27,0.025,0.5,25,50,0,add,0.5,10.0
28,0.025,0.5,25,50,0,add,0.5,20.0
29,0.025,0.5,25,50,0,add,0.5,40.0
30,0.025,0.5,50,50,0,add,0.25,10.0
31,0.025,0.5,50,50,0,add,0.25,20.0
32,0.025,0.5,50,50,0,add,0.25,40.0
33,0.025,0.5,50,50,0,add,0.5,10.0
34,0.025,0.5,50,50,0,add,0.5,20.0
35,0.025,0.5,50,50,0,add,0.5,40.0
36,0.035,0.25,20,50,0,add,0.25,10.0
37,0.035,0.25,20,50,0,add,0.25,20.0
38,0.035,0.25,20,50,0,add,0.25,40.0
39,0.035,0.25,20,50,0,add,0.5,10.0
40,0.035,0.25,20,50,0,add,0.5,20.0
41,0.035,0.25,20,50,0,add,0.5,40.0
42,0.035,0.25,25,50,0,add,0.25,10.0
43,0.035,0.25,25,50,0,add,0.25,20.0
44,0.035,0.25,25,50,0,add,0.25,40.0
45,0.035,0.25,25,50,0,add,0.5,10.0
46,0.035,0.25,25,50,0,add,0.5,20.0
47,0.035,0.25,25,50,0,add,0.5,40.0
48,0.035,0.25,50,50,0,add,0.25,10.0
49,0.035,0.25,50,50,0,add,0.25,20.0
50,0.035,0.25,50,50,0,add,0.25,40.0
51,0.035,0.25,50,50,0,add,0.5,10.0
52,0.035,0.25,50,50,0,add,0.5,20.0
53,0.035,0.25,50,50,0,add,0.5,40.0
54,0.035,0.5,20,50,0,add,0.25,10.0
55,0.035,0.5,20,50,0,add,0.25,20.0
