ls_xy,ls_z,os_xyz,ls_t,os_t,mse
0.06,0.5,150.0,0.02,25.0,
0.12,1.0,25.0,0.1,5.0,88.3231430053711
0.015,0.25,150.0,0.5,75.0,69.44832611083984
0.03,1.0,25.0,5.0,75.0,
0.24,0.5,25.0,0.5,75.0,
0.06,0.25,75.0,0.5,75.0,
0.06,0.5,150.0,0.5,75.0,
0.06,0.5,25.0,0.5,25.0,
0.24,0.5,75.0,5.0,5.0,
0.015,1.0,75.0,0.5,25.0,66.85813903808594
0.12,0.5,25.0,0.5,25.0,
0.24,1.0,75.0,5.0,25.0,
0.24,0.25,150.0,0.5,75.0,
0.12,1.0,25.0,50.0,5.0,84.30862426757812
0.03,0.25,75.0,0.5,75.0,
0.12,0.5,75.0,0.02,5.0,
0.06,1.0,25.0,5.0,75.0,
0.12,0.25,150.0,0.1,25.0,
0.03,0.25,25.0,5.0,5.0,66.4526596069336
0.06,0.5,25.0,50.0,25.0,
0.06,0.25,75.0,0.1,75.0,
0.015,0.25,150.0,0.02,75.0,92.00670623779297
0.03,0.25,25.0,50.0,75.0,
0.015,0.25,150.0,50.0,25.0,68.08605194091797
0.06,1.0,25.0,0.5,25.0,82.48910522460938
0.015,1.0,75.0,5.0,5.0,65.00845336914062
0.12,1.0,150.0,0.02,75.0,
0.03,0.5,150.0,5.0,25.0,66.73734283447266
0.03,0.5,150.0,0.02,5.0,68.51860809326172
0.24,0.25,25.0,50.0,5.0,
0.24,1.0,150.0,0.02,75.0,
0.12,0.25,25.0,50.0,25.0,
0.12,1.0,25.0,0.1,75.0,
0.12,0.5,150.0,0.5,75.0,
0.015,1.0,25.0,50.0,75.0,63.856624603271484
0.06,1.0,150.0,0.02,25.0,
0.06,0.5,75.0,0.1,25.0,79.36187744140625
0.06,1.0,75.0,5.0,5.0,
0.24,0.25,150.0,0.02,25.0,
0.24,0.25,150.0,0.5,25.0,
0.015,0.5,75.0,0.5,5.0,65.79499816894531
0.06,0.25,25.0,0.1,5.0,76.66455841064453
0.015,0.5,75.0,0.02,75.0,91.61386108398438
0.24,0.25,25.0,50.0,75.0,
0.015,1.0,150.0,0.1,5.0,68.7429428100586
0.03,0.5,75.0,0.5,5.0,67.37040710449219
0.12,1.0,150.0,0.5,5.0,
0.015,0.5,25.0,0.5,25.0,65.86003112792969
0.03,0.5,75.0,0.5,25.0,69.10271453857422
0.12,0.25,75.0,0.1,5.0,
0.24,0.5,150.0,5.0,25.0,
0.12,1.0,75.0,0.02,5.0,
0.03,0.5,150.0,0.5,75.0,
0.03,0.5,75.0,5.0,5.0,65.3060073852539
0.12,1.0,75.0,0.02,75.0,
0.12,0.25,25.0,50.0,75.0,
0.12,1.0,150.0,50.0,25.0,
0.015,0.5,25.0,5.0,25.0,63.33028030395508
0.06,1.0,150.0,0.1,5.0,
0.12,0.5,25.0,50.0,25.0,
0.06,0.5,25.0,0.5,75.0,
0.24,1.0,150.0,5.0,75.0,
0.24,0.25,75.0,5.0,25.0,
0.12,0.5,75.0,0.5,25.0,
0.03,0.25,75.0,0.5,25.0,68.79165649414062
0.015,0.5,150.0,0.1,25.0,73.09893035888672
0.24,0.5,25.0,5.0,75.0,
0.03,0.5,75.0,0.02,25.0,83.29466247558594
0.03,0.25,150.0,0.5,5.0,67.04719543457031
0.03,1.0,25.0,0.02,25.0,87.55337524414062
0.03,0.25,25.0,50.0,25.0,66.46925354003906
0.015,1.0,75.0,50.0,5.0,64.97686004638672
0.24,0.25,150.0,0.1,75.0,
0.015,1.0,25.0,5.0,75.0,64.1020278930664
0.06,0.5,75.0,5.0,5.0,
0.015,0.25,75.0,0.02,25.0,82.04950714111328
0.015,0.25,25.0,5.0,25.0,63.33388137817383
0.12,0.25,25.0,0.1,5.0,86.59590148925781
0.12,1.0,150.0,50.0,5.0,
0.06,1.0,75.0,0.1,25.0,81.1199722290039
0.24,0.5,75.0,0.02,25.0,
0.12,1.0,150.0,0.1,25.0,
0.06,0.5,75.0,0.5,25.0,
0.03,0.5,150.0,0.1,75.0,
0.24,1.0,150.0,0.02,5.0,
0.12,0.5,150.0,0.5,5.0,
0.015,1.0,25.0,0.02,25.0,85.4318618774414
0.06,1.0,25.0,5.0,25.0,79.725341796875
0.015,0.25,25.0,50.0,5.0,63.16268539428711
0.06,0.25,75.0,0.02,5.0,78.75715637207031
0.12,0.5,25.0,50.0,5.0,82.5900650024414
0.06,0.5,25.0,5.0,25.0,76.68782043457031
0.03,1.0,25.0,0.1,25.0,75.61603546142578
0.24,1.0,25.0,50.0,5.0,
0.03,1.0,75.0,0.5,25.0,70.32237243652344
0.24,0.25,150.0,5.0,75.0,
0.015,1.0,75.0,0.1,25.0,71.62245178222656
0.24,0.5,75.0,50.0,75.0,
0.24,0.25,25.0,0.02,5.0,97.39033508300781
0.06,0.5,75.0,0.02,25.0,92.76158142089844
0.06,1.0,25.0,0.5,75.0,
0.03,1.0,75.0,50.0,25.0,67.25430297851562
0.03,0.5,150.0,50.0,75.0,
0.06,0.25,25.0,50.0,25.0,
0.03,1.0,150.0,0.02,25.0,81.9962158203125
0.24,1.0,75.0,0.02,25.0,
0.06,0.25,150.0,5.0,25.0,
0.12,0.25,75.0,0.1,75.0,
0.24,0.5,150.0,50.0,25.0,
0.24,0.5,150.0,5.0,5.0,
0.015,0.25,150.0,5.0,5.0,67.74554443359375
0.06,1.0,75.0,0.5,25.0,
0.06,1.0,75.0,50.0,5.0,
0.12,0.25,75.0,0.1,25.0,
0.015,1.0,150.0,0.5,75.0,69.88971710205078
0.03,0.25,25.0,5.0,25.0,66.94781494140625
0.06,0.25,150.0,0.5,5.0,
0.015,0.25,25.0,50.0,75.0,63.31248474121094
0.06,1.0,75.0,0.5,75.0,
0.12,1.0,75.0,0.5,25.0,
0.06,0.25,75.0,5.0,5.0,
0.06,1.0,75.0,0.02,5.0,80.307373046875
0.015,0.5,75.0,0.02,25.0,81.89250183105469
0.015,1.0,75.0,0.1,5.0,67.36196899414062
0.06,0.5,25.0,0.1,5.0,77.02127075195312
0.24,0.25,150.0,50.0,25.0,
0.06,1.0,150.0,50.0,25.0,
0.06,1.0,25.0,0.02,5.0,82.63037109375
0.03,0.25,150.0,50.0,5.0,
0.24,0.25,150.0,5.0,25.0,
0.24,1.0,75.0,50.0,5.0,
0.06,0.5,25.0,5.0,75.0,
0.015,1.0,75.0,0.02,75.0,91.3989028930664
0.12,0.25,75.0,5.0,5.0,
0.03,1.0,150.0,0.02,75.0,96.9688720703125
0.24,0.25,75.0,0.5,25.0,
0.015,1.0,25.0,0.02,75.0,92.63456726074219
0.015,1.0,75.0,5.0,25.0,65.65426635742188
0.06,0.25,25.0,5.0,25.0,75.9878921508789
0.12,0.25,150.0,0.5,5.0,
0.12,0.5,150.0,5.0,25.0,
0.015,0.25,150.0,0.02,5.0,69.47008514404297
0.03,0.25,150.0,0.5,25.0,
0.03,0.25,75.0,0.02,75.0,96.84707641601562
0.03,0.25,75.0,0.1,5.0,67.6156005859375
0.24,0.25,150.0,50.0,75.0,
0.015,1.0,150.0,50.0,75.0,68.90444946289062
0.03,1.0,25.0,0.5,5.0,70.37750244140625
0.06,0.25,150.0,0.02,75.0,
0.03,0.25,25.0,0.1,5.0,70.60824584960938
0.015,0.25,75.0,5.0,5.0,64.69465637207031
0.06,0.25,150.0,0.1,25.0,
0.24,1.0,150.0,0.1,25.0,
0.015,0.5,25.0,0.5,5.0,65.05001831054688
0.03,0.5,75.0,0.5,75.0,
0.24,1.0,25.0,0.02,25.0,107.0145492553711
0.12,1.0,150.0,5.0,25.0,
0.03,0.5,75.0,0.1,5.0,67.67390441894531
0.12,1.0,75.0,0.1,75.0,
0.015,0.25,150.0,5.0,75.0,69.47238159179688
0.12,0.25,75.0,50.0,5.0,
0.06,0.25,25.0,5.0,75.0,
0.03,1.0,75.0,5.0,5.0,66.11571502685547
0.015,0.25,150.0,50.0,5.0,67.2928466796875
0.24,0.5,150.0,0.02,25.0,
0.06,0.5,75.0,0.1,75.0,
0.06,0.25,25.0,0.1,25.0,82.06402587890625
0.03,0.25,75.0,50.0,5.0,64.86608123779297
0.12,1.0,25.0,0.5,75.0,
0.03,0.5,150.0,50.0,5.0,65.18040466308594
0.03,0.25,25.0,0.1,25.0,74.95482635498047
0.015,0.5,25.0,50.0,5.0,63.152740478515625
0.12,0.5,75.0,5.0,25.0,
0.06,1.0,25.0,50.0,5.0,76.8858871459961
0.06,0.25,150.0,0.5,25.0,
0.06,0.25,25.0,50.0,75.0,
0.03,0.5,75.0,5.0,25.0,66.39347076416016
0.24,1.0,150.0,50.0,25.0,
