split_type,split_idx,n_train,n_test,mse,inner_cv_mse,indoor_scale,ap_scale,n_neighbors,weights,p
rand,0,2093,524,41.700987749743234,50.324849126717844,0.5,1.0,21,distance,2
rand,1,2093,524,44.72459092935924,50.81171404585953,2.0,1.0,21,distance,1
rand,2,2094,523,47.50444538463677,48.972521550980105,2.0,1.0,21,distance,2
rand,3,2094,523,48.00213581574601,50.56176321417966,0.5,1.0,6,distance,1
rand,4,2094,523,46.12188542334188,51.59079142623686,0.5,1.0,21,distance,2
geo,0,2064,553,97.54112436637747,44.08704235197771,0.1,1.0,6,distance,2
geo,1,2107,510,85.27665592865897,47.17640770369075,0.5,1.0,6,distance,2
geo,2,2013,604,137.5147877921645,44.536699495676274,0.1,1.0,6,distance,1
geo,3,2092,525,78.25020542745226,47.106711843145675,0.5,1.0,9,distance,1
geo,4,2192,425,75.90915231910624,45.725303138376155,0.5,1.0,9,distance,1
