ls_xy,ls_z,os_xyz,ls_t,os_t
0.025,0.05,20,0.05,5
0.025,0.05,20,0.05,15
0.025,0.05,20,0.05,30
0.025,0.05,20,0.1,5
0.025,0.05,20,0.1,15
0.025,0.05,20,0.1,30
0.025,0.05,20,0.25,5
0.025,0.05,20,0.25,15
0.025,0.05,20,0.25,30
0.025,0.05,20,0.5,5
0.025,0.05,20,0.5,15
0.025,0.05,20,0.5,30
0.025,0.05,60,0.05,5
0.025,0.05,60,0.05,15
0.025,0.05,60,0.05,30
0.025,0.05,60,0.1,5
0.025,0.05,60,0.1,15
0.025,0.05,60,0.1,30
0.025,0.05,60,0.25,5
0.025,0.05,60,0.25,15
0.025,0.05,60,0.25,30
0.025,0.05,60,0.5,5
0.025,0.05,60,0.5,15
0.025,0.05,60,0.5,30
0.025,0.05,100,0.05,5
0.025,0.05,100,0.05,15
0.025,0.05,100,0.05,30
0.025,0.05,100,0.1,5
0.025,0.05,100,0.1,15
0.025,0.05,100,0.1,30
0.025,0.05,100,0.25,5
0.025,0.05,100,0.25,15
0.025,0.05,100,0.25,30
0.025,0.05,100,0.5,5
0.025,0.05,100,0.5,15
0.025,0.05,100,0.5,30
0.025,0.25,20,0.05,5
0.025,0.25,20,0.05,15
0.025,0.25,20,0.05,30
0.025,0.25,20,0.1,5
0.025,0.25,20,0.1,15
0.025,0.25,20,0.1,30
0.025,0.25,20,0.25,5
0.025,0.25,20,0.25,15
0.025,0.25,20,0.25,30
0.025,0.25,20,0.5,5
0.025,0.25,20,0.5,15
0.025,0.25,20,0.5,30
0.025,0.25,60,0.05,5
0.025,0.25,60,0.05,15
0.025,0.25,60,0.05,30
0.025,0.25,60,0.1,5
0.025,0.25,60,0.1,15
0.025,0.25,60,0.1,30
0.025,0.25,60,0.25,5
0.025,0.25,60,0.25,15
0.025,0.25,60,0.25,30
0.025,0.25,60,0.5,5
0.025,0.25,60,0.5,15
0.025,0.25,60,0.5,30
0.025,0.25,100,0.05,5
0.025,0.25,100,0.05,15
0.025,0.25,100,0.05,30
0.025,0.25,100,0.1,5
0.025,0.25,100,0.1,15
0.025,0.25,100,0.1,30
0.025,0.25,100,0.25,5
0.025,0.25,100,0.25,15
0.025,0.25,100,0.25,30
0.025,0.25,100,0.5,5
0.025,0.25,100,0.5,15
0.025,0.25,100,0.5,30
0.025,0.5,20,0.05,5
0.025,0.5,20,0.05,15
0.025,0.5,20,0.05,30
0.025,0.5,20,0.1,5
0.025,0.5,20,0.1,15
0.025,0.5,20,0.1,30
0.025,0.5,20,0.25,5
0.025,0.5,20,0.25,15
0.025,0.5,20,0.25,30
0.025,0.5,20,0.5,5
0.025,0.5,20,0.5,15
0.025,0.5,20,0.5,30
0.025,0.5,60,0.05,5
0.025,0.5,60,0.05,15
0.025,0.5,60,0.05,30
0.025,0.5,60,0.1,5
0.025,0.5,60,0.1,15
0.025,0.5,60,0.1,30
0.025,0.5,60,0.25,5
0.025,0.5,60,0.25,15
0.025,0.5,60,0.25,30
0.025,0.5,60,0.5,5
0.025,0.5,60,0.5,15
0.025,0.5,60,0.5,30
0.025,0.5,100,0.05,5
0.025,0.5,100,0.05,15
0.025,0.5,100,0.05,30
0.025,0.5,100,0.1,5
0.025,0.5,100,0.1,15
0.025,0.5,100,0.1,30
0.025,0.5,100,0.25,5
0.025,0.5,100,0.25,15
0.025,0.5,100,0.25,30
0.025,0.5,100,0.5,5
0.025,0.5,100,0.5,15
0.025,0.5,100,0.5,30
0.075,0.05,20,0.05,5
0.075,0.05,20,0.05,15
0.075,0.05,20,0.05,30
0.075,0.05,20,0.1,5
0.075,0.05,20,0.1,15
0.075,0.05,20,0.1,30
0.075,0.05,20,0.25,5
0.075,0.05,20,0.25,15
0.075,0.05,20,0.25,30
0.075,0.05,20,0.5,5
0.075,0.05,20,0.5,15
0.075,0.05,20,0.5,30
0.075,0.05,60,0.05,5
0.075,0.05,60,0.05,15
0.075,0.05,60,0.05,30
