ls_xy,ls_z,os_xyz,ls_t,os_t,ls_ap
0.015,0.25,25,0.02,5,0.5
0.015,0.25,25,0.02,5,1.0
0.015,0.25,25,0.02,5,2.0
0.015,0.25,25,0.02,5,1000000.0
0.015,0.25,25,0.02,25,0.5
0.015,0.25,25,0.02,25,1.0
0.015,0.25,25,0.02,25,2.0
0.015,0.25,25,0.02,25,1000000.0
0.015,0.25,25,0.02,75,0.5
0.015,0.25,25,0.02,75,1.0
0.015,0.25,25,0.02,75,2.0
0.015,0.25,25,0.02,75,1000000.0
0.015,0.25,25,0.1,5,0.5
0.015,0.25,25,0.1,5,1.0
0.015,0.25,25,0.1,5,2.0
0.015,0.25,25,0.1,5,1000000.0
0.015,0.25,25,0.1,25,0.5
0.015,0.25,25,0.1,25,1.0
0.015,0.25,25,0.1,25,2.0
0.015,0.25,25,0.1,25,1000000.0
0.015,0.25,25,0.1,75,0.5
0.015,0.25,25,0.1,75,1.0
0.015,0.25,25,0.1,75,2.0
0.015,0.25,25,0.1,75,1000000.0
0.015,0.25,25,0.5,5,0.5
0.015,0.25,25,0.5,5,1.0
0.015,0.25,25,0.5,5,2.0
0.015,0.25,25,0.5,5,1000000.0
0.015,0.25,25,0.5,25,0.5
0.015,0.25,25,0.5,25,1.0
0.015,0.25,25,0.5,25,2.0
0.015,0.25,25,0.5,25,1000000.0
0.015,0.25,25,0.5,75,0.5
0.015,0.25,25,0.5,75,1.0
0.015,0.25,25,0.5,75,2.0
0.015,0.25,25,0.5,75,1000000.0
0.015,0.25,25,5.0,5,0.5
0.015,0.25,25,5.0,5,1.0
0.015,0.25,25,5.0,5,2.0
0.015,0.25,25,5.0,5,1000000.0
0.015,0.25,25,5.0,25,0.5
0.015,0.25,25,5.0,25,1.0
0.015,0.25,25,5.0,25,2.0
0.015,0.25,25,5.0,25,1000000.0
0.015,0.25,25,5.0,75,0.5
0.015,0.25,25,5.0,75,1.0
0.015,0.25,25,5.0,75,2.0
0.015,0.25,25,5.0,75,1000000.0
0.015,0.25,25,50.0,5,0.5
