split_type,split_idx,n_train,n_test,mse,fit_elapsed,predict_elapsed,jitter
rand,0,2093,524,42.191993713378906,8.12721848487854,2.6225011348724365,0.009396880865097046
rand,1,2093,524,50.38003921508789,5.8504884243011475,1.5210859775543213,0.004885183181613684
rand,2,2094,523,52.54131317138672,7.834709405899048,2.685525417327881,0.00537558039650321
rand,3,2094,523,52.66583251953125,6.062986612319946,1.6672565937042236,0.006378197111189365
rand,4,2094,523,48.455055236816406,6.015304327011108,1.660315752029419,0.011415732093155384
geo,0,2064,553,75.78565979003906,7.135267019271851,2.413956642150879,0.010422358289361
geo,1,2107,510,75.6286849975586,8.456210851669312,2.836308479309082,0.005781614221632481
geo,2,2013,604,124.13340759277344,7.918688058853149,2.7873306274414062,0.008794714696705341
geo,3,2092,525,63.52374267578125,7.382142782211304,2.5524749755859375,0.016202664002776146
geo,4,2192,425,62.0727653503418,7.579192399978638,2.6506917476654053,0.009963607415556908
