mid,time_pdt,timestamp,latitude,longitude,indoor,ap,rssi_set,rssi_n_valid,noise_set,noise_n_valid
003076bbb880,14:40:08.090794,2026-05-02 14:40:08.090794-07:00,37.4299628683784,-122.17340041947998,True,ee:9e:38:db:0c:ab,-73.0,3,-98.33333333333331,3
0034cd7495f0,15:39:57.318153,2026-05-08 15:39:57.318153-07:00,37.429836500419995,-122.170812426991,False,00:f6:63:e6:50:d1,-89.0,3,-96.0,3
0048115ad55b,14:25:30.525771,2026-05-02 14:25:30.525771-07:00,37.42992019978448,-122.17169574503964,True,a8:3a:79:ca:ef:92,-58.333333333333336,3,-96.0,3
006dbec187a3,17:40:46.221977,2026-05-11 17:40:46.221977-07:00,37.4276282179902,-122.17023355478304,False,70:61:7b:d7:4c:ee,-71.33333333333333,3,-97.66666666666669,3
007522cdb4d5,14:51:16.693670,2026-05-01 14:51:16.693670-07:00,37.429164141392086,-122.17283611012796,True,c8:78:67:36:40:52,-76.33333333333333,3,-98.0,3
0088abf3636a,17:41:46.263436,2026-05-11 17:41:46.263436-07:00,37.42770124596495,-122.17106284573626,False,64:3a:ea:93:fc:0e,-81.66666666666667,3,-97.0,3
008e50767a8e,14:36:59.139909,2026-05-02 14:36:59.139909-07:00,37.43051701007431,-122.1725449567058,False,a8:3a:79:c7:b2:d2,-43.666666666666664,3,-95.0,3
00b69ee2a234,14:56:38.624495,2026-05-02 14:56:38.624495-07:00,37.42954661997091,-122.1715235218164,False,40:ce:24:8d:61:ee,-86.0,3,-98.0,3
00cd24ea06c2,17:42:02.285198,2026-05-11 17:42:02.285198-07:00,37.42784340245631,-122.17104143242716,False,a8:53:7d:8c:1b:12,-68.66666666666667,3,-97.0,3
00d6292e37f2,17:35:49.956963,2026-05-11 17:35:49.956963-07:00,37.4275276306125,-122.17058384128966,False,failed to retrieve BSSID,,0,,0
00f5dcc96608,15:38:29.224978,2026-05-08 15:38:29.224978-07:00,37.430028639636014,-122.170791272504,False,54:33:c6:c6:7f:92,-91.0,3,-95.0,3
0115e35b62bd,14:37:23.142259,2026-05-02 14:37:23.142259-07:00,37.43041831809372,-122.1727255081952,False,a8:3a:79:c7:b2:d2,-60.333333333333336,3,-95.0,3
012428ae7899,16:11:36.238621,2026-04-30 16:11:36.238621-07:00,37.42751317424261,-122.1727710600829,True,bc:26:c7:c3:91:2e,-68.33333333333333,3,-97.0,3
013bada9c8f1,15:20:42.799930,2026-05-08 15:20:42.799930-07:00,37.42924258129629,-122.17261470706262,False,a8:3a:79:c4:aa:62,-67.66666666666667,3,-96.0,3
015588e550a0,14:47:10.171425,2026-05-02 14:47:10.171425-07:00,37.42977044895713,-122.172195915044,False,a8:3a:79:c7:7c:52,-70.0,3,-97.0,3
0159d9052393,17:36:05.960147,2026-05-11 17:36:05.960147-07:00,37.42750220838598,-122.17041602806115,False,failed to retrieve BSSID,,0,,0
0165f9a58782,15:34:53.619311,2026-04-30 15:34:53.619311-07:00,37.42850470588782,-122.17276920549956,True,bc:26:c7:5d:1a:ee,-60.0,3,-98.0,3
016edc6ab920,15:52:15.784883,2026-05-08 15:52:15.784883-07:00,37.428937377780336,-122.1715466024437,False,40:ce:24:8d:61:ee,-83.0,3,-95.66666666666669,3
0176b8594fae,18:11:39.337093,2026-05-11 18:11:39.337093-07:00,37.42858245152685,-122.17370898500754,False,cc:db:93:03:24:4e,-67.66666666666667,3,-96.0,3
01a4b2ce5bf1,17:41:14.221131,2026-05-11 17:41:14.221131-07:00,37.42774645027459,-122.17061749646884,False,a8:53:7d:8c:32:42,-67.0,3,-87.0,3
01a9079540f7,14:25:02.499047,2026-05-02 14:25:02.499047-07:00,37.42965425994773,-122.17171596161582,True,a8:3a:79:58:dd:92,-62.666666666666664,3,-97.0,3
01b8d983e029,17:33:57.817824,2026-05-11 17:33:57.817824-07:00,37.42744159996105,-122.17045991717536,False,6c:b2:ae:1d:ad:e1,-81.0,3,-97.0,3
01be4ef52f97,14:46:58.164174,2026-05-02 14:46:58.164174-07:00,37.42977044895713,-122.172195915044,False,a8:3a:79:c7:7c:52,-70.33333333333333,3,-97.0,3
01ce263fc3d8,17:46:10.482544,2026-05-11 17:46:10.482544-07:00,37.42789801441202,-122.17077623639597,False,failed to retrieve BSSID,,0,,0
01ce69283140,15:46:42.460332,2026-04-30 15:46:42.460332-07:00,37.42795115522767,-122.17280919289244,False,a8:3a:79:c7:6c:92,-76.0,3,,0
01e3770ef38e,16:15:11.401511,2026-04-30 16:15:11.401511-07:00,37.427379722494855,-122.17285378899226,True,bc:26:c7:55:c7:ee,-57.666666666666664,3,-96.0,3
